workload_profile	summary_label	context_budget	isl	osl	node_count	agg_status	disagg_status	agg_tok_s_user	disagg_tok_s_user	disagg_over_agg_tok_s_user	disagg_minus_agg_tok_s_user	agg_tok_s_gpu	disagg_tok_s_gpu	disagg_over_agg_tok_s_gpu	agg_cluster_tok_s	disagg_cluster_tok_s	disagg_over_agg_cluster_tok_s	agg_total_gpus	disagg_total_gpus	winner_tok_s_user	load_bands_considered	agg_load_invariant	disagg_load_invariant	agg_config	disagg_config
practical_64k_8k	64K / 8K	73728	65536	8192	16	candidate	candidate	21.193	17.602	0.831	-3.591	39.163	33.745	0.862	5012.864	3509.480	0.700	128	104	agg	15	1	1	tp8pp1dp1etp1ep8, bs=15	1p + 12d @ p:tp8pp1dp1etp1ep8 / d:tp8pp1dp1etp1ep8, p_bs=1, d_bs=18
practical_64k_8k	64K / 8K	73728	65536	8192	32	candidate	candidate	21.193	17.602	0.831	-3.591	39.163	33.745	0.862	10025.728	7018.960	0.700	256	208	agg	15	1	1	tp8pp1dp1etp1ep8, bs=15	2p + 24d @ p:tp8pp1dp1etp1ep8 / d:tp8pp1dp1etp1ep8, p_bs=1, d_bs=18
practical_64k_8k	64K / 8K	73728	65536	8192	64	candidate	candidate	21.193	17.602	0.831	-3.591	39.163	33.745	0.862	20051.456	14037.920	0.700	512	416	agg	15	1	1	tp8pp1dp1etp1ep8, bs=15	4p + 48d @ p:tp8pp1dp1etp1ep8 / d:tp8pp1dp1etp1ep8, p_bs=1, d_bs=18
practical_64k_8k	64K / 8K	73728	65536	8192	128	candidate	candidate	21.193	17.602	0.831	-3.591	39.163	33.745	0.862	40102.912	31585.320	0.788	1024	936	agg	15	1	1	tp8pp1dp1etp1ep8, bs=15	9p + 108d @ p:tp8pp1dp1etp1ep8 / d:tp8pp1dp1etp1ep8, p_bs=1, d_bs=18
practical_64k_8k	64K / 8K	73728	65536	8192	256	candidate	candidate	21.193	17.602	0.831	-3.591	39.163	33.745	0.862	80205.824	66680.120	0.831	2048	1976	agg	15	1	1	tp8pp1dp1etp1ep8, bs=15	19p + 228d @ p:tp8pp1dp1etp1ep8 / d:tp8pp1dp1etp1ep8, p_bs=1, d_bs=18
practical_64k_8k	64K / 8K	73728	65536	8192	512	candidate	candidate	21.193	17.602	0.831	-3.591	39.163	33.745	0.862	160411.648	136869.720	0.853	4096	4056	agg	15	1	1	tp8pp1dp1etp1ep8, bs=15	39p + 468d @ p:tp8pp1dp1etp1ep8 / d:tp8pp1dp1etp1ep8, p_bs=1, d_bs=18
stress_128k	128K profile	131072	114688	16384	1	candidate	no_results	42.750				31.053			248.424			8	0	missing	15	1	1	tp8pp1dp1etp1ep8, bs=6	no result
stress_128k	128K profile	131072	114688	16384	2	candidate	candidate	42.750	31.848	0.745	-10.902	31.053	15.073	0.485	496.848	241.168	0.485	16	16	agg	15	1	1	tp8pp1dp1etp1ep8, bs=6	1p + 1d @ p:tp8pp1dp1etp1ep8 / d:tp8pp1dp1etp1ep8, p_bs=1, d_bs=8
stress_128k	128K profile	131072	114688	16384	4	candidate	candidate	42.750	31.848	0.745	-10.902	31.053	22.610	0.728	993.696	723.520	0.728	32	32	agg	15	1	1	tp8pp1dp1etp1ep8, bs=6	1p + 3d @ p:tp8pp1dp1etp1ep8 / d:tp8pp1dp1etp1ep8, p_bs=1, d_bs=8
stress_128k	128K profile	131072	114688	16384	8	candidate	candidate	42.750	31.848	0.745	-10.902	31.053	26.378	0.849	1987.392	1688.192	0.849	64	64	agg	15	1	1	tp8pp1dp1etp1ep8, bs=6	1p + 7d @ p:tp8pp1dp1etp1ep8 / d:tp8pp1dp1etp1ep8, p_bs=1, d_bs=8
stress_128k	128K profile	131072	114688	16384	16	candidate	candidate	42.750	57.215	1.338	14.465	31.053	24.730	0.796	3974.784	3165.440	0.796	128	128	disagg	15	1	1	tp8pp1dp1etp1ep8, bs=6	1p + 15d @ p:tp8pp1dp1etp1ep8 / d:tp8pp1dp1etp1ep8, p_bs=1, d_bs=4
stress_128k	128K profile	131072	114688	16384	32	candidate	candidate	42.750	57.215	1.338	14.465	31.053	24.730	0.796	7949.568	6330.880	0.796	256	256	disagg	15	1	1	tp8pp1dp1etp1ep8, bs=6	2p + 30d @ p:tp8pp1dp1etp1ep8 / d:tp8pp1dp1etp1ep8, p_bs=1, d_bs=4
stress_128k	128K profile	131072	114688	16384	64	candidate	candidate	42.750	57.215	1.338	14.465	31.053	24.730	0.796	15899.136	12661.760	0.796	512	512	disagg	15	1	1	tp8pp1dp1etp1ep8, bs=6	4p + 60d @ p:tp8pp1dp1etp1ep8 / d:tp8pp1dp1etp1ep8, p_bs=1, d_bs=4
stress_128k	128K profile	131072	114688	16384	128	candidate	candidate	42.750	31.848	0.745	-10.902	31.053	27.993	0.901	31798.272	28216.944	0.887	1024	1008	agg	15	1	1	tp8pp1dp1etp1ep8, bs=6	9p + 117d @ p:tp8pp1dp1etp1ep8 / d:tp8pp1dp1etp1ep8, p_bs=1, d_bs=8
stress_128k	128K profile	131072	114688	16384	256	candidate	candidate	42.750	31.848	0.745	-10.902	31.053	27.993	0.901	63596.544	56433.888	0.887	2048	2016	agg	15	1	1	tp8pp1dp1etp1ep8, bs=6	18p + 234d @ p:tp8pp1dp1etp1ep8 / d:tp8pp1dp1etp1ep8, p_bs=1, d_bs=8
stress_128k	128K profile	131072	114688	16384	512	candidate	candidate	42.750	31.848	0.745	-10.902	31.053	27.993	0.901	127193.088	112867.776	0.887	4096	4032	agg	15	1	1	tp8pp1dp1etp1ep8, bs=6	36p + 468d @ p:tp8pp1dp1etp1ep8 / d:tp8pp1dp1etp1ep8, p_bs=1, d_bs=8
stress_256k	256K profile	262144	229376	32768	1	no_results	no_results											8	0	missing	15	1	1	agg	no result
stress_256k	256K profile	262144	229376	32768	2	no_results	no_results											16	0	missing	15	1	1	agg	no result
stress_256k	256K profile	262144	229376	32768	4	no_results	no_results											32	0	missing	15	1	1	agg	no result
stress_256k	256K profile	262144	229376	32768	8	no_results	no_results											64	0	missing	15	1	1	agg	no result
stress_256k	256K profile	262144	229376	32768	16	no_results	no_results											128	0	missing	15	1	1	agg	no result
stress_256k	256K profile	262144	229376	32768	32	no_results	no_results											256	0	missing	15	1	1	agg	no result
stress_256k	256K profile	262144	229376	32768	64	no_results	no_results											512	0	missing	15	1	1	agg	no result
stress_256k	256K profile	262144	229376	32768	128	no_results	no_results											1024	0	missing	15	1	1	agg	no result
stress_256k	256K profile	262144	229376	32768	256	no_results	no_results											2048	0	missing	15	1	1	agg	no result
stress_256k	256K profile	262144	229376	32768	512	no_results	no_results											4096	0	missing	15	1	1	agg	no result
