workload_profile	workload_tier	context_budget	node_count	topology	status	total_gpus	selected_total_gpus	selected_gpu_fraction	cluster_tokens_s	tokens_s_user	tokens_s_gpu_selected	tokens_s_gpu_allocated	request_rate	concurrency	scale_vs_topology_baseline	scale_vs_agg_1n	parallelism	prefill_parallelism	decode_parallelism	script_shape	source_run
stress_128k_16k	stress_rl	128K	128	agg	candidate	1024	1024	1.000	44729.856	179.730	43.681	43.681	2.688	256.000	128.000	128.000	tp8pp1dp1etp1ep8			node_local	20260423T221500Z_rl_pow2_512_unfiltered
stress_128k_16k	stress_rl	128K	256	agg	candidate	2048	2048	1.000	89459.712	179.730	43.681	43.681	5.376	512.000	256.000	256.000	tp8pp1dp1etp1ep8			node_local	20260423T221500Z_rl_pow2_512_unfiltered
stress_128k_16k	stress_rl	128K	512	agg	candidate	4096	4096	1.000	178919.424	179.730	43.681	43.681	10.752	1024.000	512.000	512.000	tp8pp1dp1etp1ep8			node_local	20260423T221500Z_rl_pow2_512_unfiltered
stress_128k_16k	stress_rl	128K	1	disagg	no_results	8	0	0.000												no_results	20260423T221500Z_rl_pow2_512_unfiltered
stress_128k_16k	stress_rl	128K	2	disagg	candidate	16	16	1.000	422.052	90.246	26.378	26.378	0.026	5.000	1.000	1.208	prefill tp8pp1dp1etp1ep8 | decode tp8pp1dp1etp1ep8	tp8pp1dp1etp1ep8	tp8pp1dp1etp1ep8	node_local	20260423T221500Z_rl_pow2_512_unfiltered
stress_128k_16k	stress_rl	128K	4	disagg	candidate	32	32	1.000	1266.156	90.246	39.567	39.567	0.077	15.000	3.000	3.623	prefill tp8pp1dp1etp1ep8 | decode tp8pp1dp1etp1ep8	tp8pp1dp1etp1ep8	tp8pp1dp1etp1ep8	node_local	20260423T221500Z_rl_pow2_512_unfiltered
stress_128k_16k	stress_rl	128K	8	disagg	candidate	64	64	1.000	2954.363	90.246	46.162	46.162	0.180	35.000	7.000	8.454	prefill tp8pp1dp1etp1ep8 | decode tp8pp1dp1etp1ep8	tp8pp1dp1etp1ep8	tp8pp1dp1etp1ep8	node_local	20260423T221500Z_rl_pow2_512_unfiltered
stress_128k_16k	stress_rl	128K	16	disagg	candidate	128	112	0.875	5094.769	105.023	45.489	39.803	0.311	52.000	12.071	14.579	prefill tp8pp1dp1etp1ep8 | decode tp8pp1dp1etp1ep8	tp8pp1dp1etp1ep8	tp8pp1dp1etp1ep8	node_local	20260423T221500Z_rl_pow2_512_unfiltered
stress_128k_16k	stress_rl	128K	32	disagg	candidate	256	224	0.875	5094.769	105.023	22.745	19.901	0.311	52.000	12.071	14.579	prefill tp8pp1dp1etp1ep8 | decode tp8pp1dp1etp1ep8	tp8pp1dp1etp1ep8	tp8pp1dp1etp1ep8	node_local	20260423T221500Z_rl_pow2_512_unfiltered
stress_128k_16k	stress_rl	128K	64	disagg	candidate	512	448	0.875	5094.769	105.023	11.372	9.951	0.311	52.000	12.071	14.579	prefill tp8pp1dp1etp1ep8 | decode tp8pp1dp1etp1ep8	tp8pp1dp1etp1ep8	tp8pp1dp1etp1ep8	node_local	20260423T221500Z_rl_pow2_512_unfiltered
stress_128k_16k	stress_rl	128K	128	disagg	candidate	1024	1008	0.984	5094.769	105.023	5.054	4.975	0.311	52.000	12.071	14.579	prefill tp8pp1dp1etp1ep8 | decode tp8pp1dp1etp1ep8	tp8pp1dp1etp1ep8	tp8pp1dp1etp1ep8	node_local	20260423T221500Z_rl_pow2_512_unfiltered
stress_128k_16k	stress_rl	128K	256	disagg	candidate	2048	1976	0.965	5064.622	90.246	2.563	2.473	0.309	60.000	12.000	14.493	prefill tp8pp1dp1etp1ep8 | decode tp8pp1dp1etp1ep8	tp8pp1dp1etp1ep8	tp8pp1dp1etp1ep8	node_local	20260423T221500Z_rl_pow2_512_unfiltered
